Track,Submission ID,Submission Title,Authors
Area E (Semantics) [LONG],1699,Learning Semantic Parsers from Natural Language Supervision,"Igor Labutov, Bishan Yang and Tom Mitchell"
Area E (Semantics) [LONG],1766,DeepCx: A transition-based approach for shallow semantic parsing with complex constructional triggers,"Jesse Dunietz, Jaime Carbonell and Lori Levin"
Area E (Semantics) [LONG],1791,What It Takes to Achieve 100% Condition Accuracy on WikiSQL,"Semih Yavuz, Izzeddin Gur, Yu Su and Xifeng Yan"
Area E (Semantics) [LONG],2073,Better Transition-Based AMR Parsing with Refined Search Space,Zhijiang Guo and Wei Lu
Area E (Semantics) [LONG],2179,Dependency-based Hybrid Trees for Semantic Parsing,Zhanming Jie and Wei Lu
Area E (Semantics) [LONG],1751,Possessors Change Over Time: A Case Study with Artworks,Dhivya Chinnappa and Eduardo Blanco
Area E (Semantics) [LONG],470,A Computational Exploration of Exaggeration,"Enrica Troiano, Carlo Strapparava, Gözde Özbal and Serra Sinem Tekiroglu"
Area E (Semantics) [LONG],391,Learning Context-Aware Convolutional Filters for Text Processing,"Dinghan Shen, Martin Renqiang Min, Yitong Li and Lawrence Carin"
Area E (Semantics) [LONG],654,Heuristically Informed Unsupervised Idiom Usage Recognition,Changsheng Liu and Rebecca Hwa
Area E (Semantics) [LONG],835,Coming to Your Senses: on Controls and Evaluation Sets in Polysemy Research,"Haim Dubossarsky, Eitan Grossman and Daphna Weinshall"
Area E (Semantics) [LONG],1581,Predicting Semantic Relations using Global Graph Properties,Yuval Pinter and Jacob Eisenstein
Area E (Semantics) [LONG],1728,Learning Scalar Adjective Intensity from Paraphrases,"Anne Cocos, Veronica Wharton, Ellie Pavlick, Marianna Apidianaki and Chris Callison-Burch"
Area E (Semantics) [LONG],2009,Pointwise HSIC: A Linear-Time Kernelized Co-occurrence Norm for Sparse Linguistic Expressions,"Sho Yokoi, Sosuke Kobayashi, Kenji Fukumizu, Jun Suzuki and Kentaro Inui"
Area E (Semantics) [LONG],1128,A Unified Syntax-aware Framework for Semantic Role Labeling,"Zuchao Li, Shexia He, Jiaxun Cai, Zhuosheng Zhang and Hai Zhao"
Area E (Semantics) [LONG],1247,Semantics as a Foreign Language,Gabriel Stanovsky and Ido Dagan
Area E (Semantics) [LONG],1478,An AMR Aligner Tuned by Transition-based Parser,"Yijia Liu, Wanxiang Che, Bo Zheng, Bing Qin and Ting Liu"
Area E (Semantics) [LONG],1537,Linguistically-Informed Self-Attention for Semantic Role Labeling,"Emma Strubell, Patrick Verga, Daniel Andor, David Weiss and Andrew McCallum"
Area E (Semantics) [LONG],2214,Policy Shaping and Generalized Update Equations for Semantic Parsing from Denotations,"Dipendra Misra, Ming-Wei Chang, Xiaodong He and Wen-tau Yih"
Area E (Semantics) [LONG],1172,Process Paragraph Comprehension using World Knowledge,"Niket Tandon, Bhavana Dalvi, Joel Grus, Wen-tau Yih, Antoine Bosselut and Peter Clark"
Area E (Semantics) [LONG],1634,Textual Analogy Parsing: What's Shared and What's Compared among Analogous Facts,"Matthew Lamm, Arun Chaganty, Christopher D. Manning, Dan Jurafsky and Percy Liang"
Area E (Semantics) [LONG],2020,SWAG: A Large-Scale Adversarial Dataset for Grounded Commonsense Inference,"Rowan Zellers, Yonatan Bisk, Roy Schwartz and Yejin Choi"
Area E (Semantics) [LONG],2036,TwoWingOS: Claim Entailment with Precise Evidence via a Two-Wing Optimization Strategy,Wenpeng Yin and Dan Roth
Area E (Semantics) [LONG],652,A Word-Complexity Lexicon and A Neural Readability Ranking Model for Lexical Simplification,Mounica Maddela and Wei Xu
Area E (Semantics) [LONG],2060,Syntactic Scaffolds for Semantic Structures,"Swabha Swayamdipta, Sam Thomson, Kenton Lee, Luke Zettlemoyer, Chris Dyer and Noah A. Smith"
Area E (Semantics) [LONG],2103,Hierarchical Quantized Representations for Script Generation,"Noah Weber, Leena Shekhar, Niranjan Balasubramanian and Nate Chambers"
Area E (Semantics) [LONG],2250,Semantic Role Labeling for Learner Chinese: the Importance of Syntactic Parsing and the L2-L1 Parallel Data,"Zi Lin, Yuguang Duan, Yuanyuan Zhao, Weiwei Sun and Xiaojun Wan"
Area E (Semantics) [LONG],758,Phrase-level Self-Attention Networks for Universal Sentence Encoding,"Wei Wu, Houfeng WANG, Tianyu Liu and Shuming Ma"
Area E (Semantics) [LONG],2091,Quantifying Context Overlap for Training Word Embeddings,"Yimeng Zhuang, Jinghui Xie, Yinhe Zheng and Xuan Zhu"
Area E (Semantics) [LONG],203,Neural Latent Relational Analysis to Capture Lexical Semantic Relation,Koki Washio and Tsuneaki Kato
Area E (Semantics) [LONG],2267,Generalizing Word Embeddings using Bag of Subwords,"Jinman Zhao, Sidharth Mudgal and Yingyu Liang"
Area E (Semantics) [LONG],2075,Neural Metaphor Detection in Context,"Ge Gao, Eunsol Choi, Yejin Choi and Luke Zettlemoyer"
Area E (Semantics) [LONG],526,Exploiting Rich Syntactic Information for Semantic Parsing with Graph-to-Sequence Model,"Kun Xu, Lingfei Wu, Zhiguo Wang, Mo Yu, Liwei Chen and Vadim Sheinin"
Area E (Semantics) [LONG],1231,Retrieval-Based Neural Code Generation,"Shirley Anugrah Hayati, Raphael Olivier, Pravalika Avvaru, Pengcheng Yin, Anthony Tomasic and Graham Neubig"
Area E (Semantics) [LONG],103,Understanding Deep Learning Performance through an Examination of Test Set Difficulty: A Psychometric Case Study,"John Lalor, Hao Wu, Tsendsuren Munkhdalai and Hong Yu"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",1424-TACL,Polite Dialogue Generation Without Parallel Data,"Niu, Tong  and Bansal, Mohit"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",1465,Disfluency Detection using Auto-Correlational Neural Networks,"Paria Jamshid Lou, Peter Anderson and Mark Johnson"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",761,ICON: Interactive Conversational Memory Network for Multimodal Emotion Detection,"Devamanyu Hazarika, Soujanya Poria, Rada Mihalcea, Erik Cambria and Roger Zimmermann"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",978,Discriminative Learning of Open-Vocabulary Object Retrieval and Localization by Negative Phrase Augmentation,Ryota Hinami and Shin'ichi Satoh
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",1257,A Probabilistic Model for Joint Learning of Word Embeddings from Texts and Images,"Melissa Ailem, Bowen Zhang, Aurélien Bellet, Pascal Denis and Fei Sha"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",1744,Grounding Semantic Roles in Images,Carina Silberer and Manfred Pinkal
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",1822,Commonsense Action Explanation in Human-Agent Communication,"Shaohua Yang, Qiaozi Gao, sari sadiya and Joyce Chai"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",1928,Learning Personas from Dialogue with Attentive Memory Networks,"Eric Chu, Prashanth Vijayaraghavan and Deb Roy"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",1951,Grounding language acquisition by training semantic parsers using captioned videos,"Candace Ross, Andrei Barbu, Yevgeni Berzak, Battushig Myanganbayar and Boris Katz"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",1998,Translating Navigation Instructions in Natural Language to a High-Level Plan for Behavioral Robot Navigation,"Xiaoxue Zang, Ashwini Pokle, Marynel Vázquez, Kevin Chen, Juan Carlos Niebles, Alvaro Soto and Silvio Savarese"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",2067,Mapping Instructions to Actions in 3D Environments with Visual Goal Prediction,"Dipendra Misra, Andrew Bennett, Valts Blukis, Eyvind Niklasson, Max Shatkhin and Yoav Artzi"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",665,Building Context-aware Clause Representations for Situation Entity Type Classification,Zeyu Dai and Ruihong Huang
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",1489,Investigating the Role of Argumentation in the Rhetorical Analysis of Scientific Publications with Neural Multi-Task Learning Models,"Anne Lauscher, Goran Glavaš, Simone Paolo Ponzetto and Kai Eckert"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",1824,"Text, Visual and Acoustic are Friends! A Multi-Modal Attention Framework for Utterance-Level Sentiment Prediction","Deepanway Ghosal, Md Shad Akhtar, Dushyant Chauhan, Soujanya Poria, Asif Ekbal and Pushpak Bhattacharyya"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",71,MultiWOZ - A Large-Scale Multi-Domain Wizard-of-Oz Dataset for Task-Oriented Dialogue Modelling,"Paweł Budzianowski, Tsung-Hsien Wen, Bo-Hsiang Tseng, Iñigo Casanueva, Stefan Ultes, Osman Ramadan and Milica Gasic"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",305,A Teacher-Student Framework for Maintainable Dialog Manager,"Weikang Wang, Jiajun Zhang, Han Zhang, Mei-Yuh Hwang, Chengqing Zong and Zhifei Li"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",1511,Discriminative Deep Dyna-Q: Robust Planning for Dialogue Policy Learning,"Shang-Yu Su, Xiujun Li, Jianfeng Gao, Jingjing Liu and Yun-Nung Chen"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",1572,A Self-Attentive Model with Gate Mechanism for Spoken Language Understanding,"Changliang Li, Liang Li and Ji Qi"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",1779,Learning End-to-End Goal-Oriented Dialog with Multiple Answers,"Janarthanan Rajendran, Jatin Ganhotra, Satinder Singh and Lazaros Polymenakos"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",2138,AirDialogue: An Environment for Goal-Oriented Dialogue Research,"Wei Wei, Quoc Le, Andrew Dai and Jia Li"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",377,Sentence Editing under Quantifiable Guidance,"Yi Liao, Lidong Bing, Piji Li, Shuming Shi, Wai Lam and Tong Zhang"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",413,Paraphrase Generation with Deep Reinforcement Learning,"Zichao Li, Xin Jiang, Lifeng Shang and Hang Li"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",447,Operation Guided Neural Networks for High Fidelity Data-To-Text Generation,"Feng Nie, Jinpeng Wang, Jin-Ge Yao, Rong Pan and Chin-Yew Lin"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",462,Generating Classical Chinese Poems via Conditional Variational Autoencoder and Adversarial Training,"Juntao Li, Yan Song, Haisong Zhang, Dongmin Chen, Shuming Shi, Dongyan Zhao and Rui Yan"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",1818,Diversity-Promoting GAN: A Cross-Entropy Based Generative Adversarial Network for Diversified Text Generation,"Jingjing Xu, Xuancheng Ren, Junyang Lin and Xu SUN"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",2039,Towards a Better Metric for Evaluating Question Generation Systems,Preksha Nema and Mitesh M. Khapra
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",866,Stylistic Chinese Poetry Generation via Unsupervised Style Disentanglement,"Cheng Yang, Maosong Sun, Xiaoyuan Yi and Wenhao Li"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",1127,Generating More Interesting Responses in Neural Conversation Models with Distributional Constraints,"Ashutosh Baheti, Alan Ritter, Jiwei Li and Bill Dolan"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",1241,"Better Conversations by Modeling, Filtering, and Optimizing for Coherence and Diversity","Xinnuo Xu, Ondřej Dušek, Ioannis Konstas and Verena Rieser"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",229,Multimodal Differential Network for Visual Question Generation,"Badri Narayana Patro, Sandeep Kumar, Vinod Kumar Kurmi and Vinay Namboodiri"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",232,Entity-aware Image Caption Generation,"Di Lu, Spencer Whitehead, Lifu Huang, Heng Ji and Shih-Fu Chang"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",1900,Learning to Describe Differences Between Pairs of Similar Images,Harsh Jhamtani and Taylor Berg-Kirkpatrick
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",2074,Object Hallucination in Image Captioning,"Anna Rohrbach, Lisa Anne Hendricks, Kaylee Burns, Trevor Darrell and Kate Saenko"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",206,Abstractive Text-Image Summarization based on Multi-Modal Attentional Hierarchical RNN,Jingqiang Chen and Hai Zhuge
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",727,Improving Neural Abstractive Document Summarization with Structural Regularization,"Wei Li, Xinyan Xiao, Yajuan Lyu and Yuanzhuo Wang"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",950,Iterative Document Representation Learning Towards Summarization with Polishing,"Xiuying Chen, Shen Gao, Chongyang Tao, Yan Song, Dongyan Zhao and Rui Yan"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",1181,Bottom-Up Abstractive Summarization,"Sebastian Gehrmann, Yuntian Deng and Alexander Rush"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",1192,Controlling Length in Abstractive Summarization Using a Convolutional Neural Network,"Yizhu Liu, Zhiyi Luo and Kenny Zhu"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",1293,APRIL: Interactively Learning to Summarise by Combining Active Preference Learning and Reinforcement Learning,"Yang Gao, Christian M. Meyer and Iryna Gurevych"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",1324,Adapting the Neural Encoder-Decoder Framework from Single to Multi-Document Summarization,"Logan Lebanoff, Kaiqiang Song and Fei Liu"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",1482,MSMO: Multimodal Summarization with Multimodal Output,"Junnan Zhu, Haoran Li, Tianshang Liu, Yu Zhou, Jiajun Zhang and Chengqing Zong"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",1539,Frustratingly Easy Model Ensemble for Abstractive Summarization,Hayato Kobayashi
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",1575,Automatic Pyramid Evaluation Exploiting EDU-based Extractive Reference Summaries,"Tsutomu Hirao, Hidetaka Kamigaito and Masaaki Nagata"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",1975,Learning to Encode Text as Human-Readable Summaries using Generative Adversarial Networks,Yaushian Wang and Hung-yi Lee
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",2100,Playing 20 Question Game with Policy-Based Reinforcement Learning,"Huang Hu, Xianchao Wu, Bingfeng Luo, Chongyang Tao, Can Xu, wei wu and Zhan Chen"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",1411,Learning Latent Semantic Annotations for Grounding Natural Language to Structured Data,"Guanghui Qin, Jin-Ge Yao, Xuening Wang and Chin-Yew Lin"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",582,Using lexical alignment and referring ability to address data sparsity in situated dialog reference resolution,Todd Shore and Gabriel Skantze
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",1652,Supervised Clustering of Questions into Intents for Dialog System Applications,"Iryna Haponchyk, Antonio Uva, Seunghak Yu, Olga Uryupina and Alessandro Moschitti"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",2005,Towards Exploiting Background Knowledge for Building Conversation Systems,"Nikita Moghe, Siddhartha Arora, Suman Banerjee and Mitesh M. Khapra"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",2300,Decoupling Strategy and Generation in Negotiation Dialogues,"He He, Derek Chen, Anusha Balakrishnan and Percy Liang"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",469,Neural Related Work Summarization with a Joint Context-driven Attention Mechanism,"Yongzhen Wang, Xiaozhong Liu and Zheng Gao"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",731,Improving Neural Abstractive Document Summarization with Explicit Information Selection Modeling,"Wei Li, Xinyan Xiao and Yajuan Lyu"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",1090,"Don't Give Me the Details, Just the Summary! Topic-Aware Convolutional Neural Networks for Extreme Summarization","Shashi Narayan, Shay B. Cohen and Mirella Lapata"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",1778,Improving Abstraction in Text Summarization,"Wojciech Kryściński, Romain Paulus, Caiming Xiong and Richard Socher"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",2164,Content Selection in Deep Learning Models of Summarization,"Chris Kedzie, Kathleen McKeown and Hal Daume III"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",300,Automatic Poetry Generation with Mutual Reinforcement Learning,"Xiaoyuan Yi, Maosong Sun, Ruoyu Li and Wenhao Li"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",366,Variational Autoregressive Decoder for Neural Response Generation,"Jiachen Du, Wenjie Li, Yulan He, Ruifeng Xu, Lidong Bing and Xuan Wang"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",1746,Integrating Transformer and Paraphrase Rules for Sentence Simplification,"Sanqiang Zhao, Rui Meng, Daqing He, Andi Saptono and Bambang Parmanto"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",2025,Learning Neural Templates for Text Generation,"Sam Wiseman, Alexander Rush and Stuart Shieber"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",2230,Multi-Reference Training with Pseudo-Reference Generation for Text Generation,"Renjie Zheng, Mingbo Ma and Liang Huang"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",907,A Skeleton-Based Model for Promoting Coherence Among Sentences in Narrative Story Generation,"Jingjing Xu, Xu SUN, Xuancheng Ren, Qi Zeng, Yi Zhang, Pengcheng Yang and Xiaoyan Cai"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",968,Nexus Network: Connecting the Preceding and the Following in Dialogue Generation,"Hui Su, Xiaoyu Shen, Wenjie Li, Dietrich Klakow and Gerhard Weikum"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",1138,A New Local Coherence Model for Text Quality Assessment,Mohsen Mesgar and Michael Strube
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",1276,"Getting to ""Hearer-old"": Charting Referring Expressions Across Time","Ieva Staliunaite, Hannah Rohde, Bonnie Webber and Annie Louis"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",201,Associative Multichannel Autoencoder for Multimodal Word Representation,"Shaonan Wang, Jiajun Zhang and Chengqing Zong"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",836,simNet: Stepwise Image-Topic Merging Network for Generating Detailed and Comprehensive Image Captions,"Fenglin Liu, Xuancheng Ren, Xu SUN, Yuanxin LIU and Houfeng WANG"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",1792,Multimodal Language Analysis with Recurrent Multistage Fusion,"Paul Pu Liang, Ziyin Liu, AmirAli Bagher Zadeh and Louis-Philippe Morency"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",1845,Temporally Grounding Natural Sentence in Video,"Jingyuan Chen, Xinpeng Chen, Lin Ma, Zequn Jie and Tat-Seng Chua"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",247,Tell-and-Answer: Towards Explainable Visual Question Answering using Attributes and Captions,"Qing Li, Jianlong Fu, Dongfei Yu, Tao Mei and Jiebo Luo"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",1213,RecipeQA: A Challenge Dataset for Multimodal Comprehension of Cooking Recipes,"Semih Yagcioglu, Aykut Erdem, Erkut Erdem and Nazli Ikizler-Cinbis"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",1763,Localizing Moments in Video with Temporal Language,"Lisa Anne Hendricks, Bryan Russell, Eli Shechtman, Josef Sivic, Oliver Wang and Trevor Darrell"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",1322,BanditSum: Extractive Summarization as a Contextual Bandit,"Yue Dong, Yikang Shen, Eric Crawford, Herke van Hoof, Jackie Chi Kit Cheung and Aaron Courville"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",71,MultiWOZ - A Large-Scale Multi-Domain Wizard-of-Oz Dataset for Task-Oriented Dialogue Modelling,"Paweł Budzianowski, Tsung-Hsien Wen, Bo-Hsiang Tseng, Iñigo Casanueva, Stefan Ultes, Osman Ramadan and Milica Gasic"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",447,Operation Guided Neural Networks for High Fidelity Data-To-Text Generation,"Feng Nie, Jinpeng Wang, Jin-Ge Yao, Chin-Yew Lin and Rong Pan"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",1489,Investigating the Role of Argumentation in the Rhetorical Analysis of Scientific Publications with Neural Multi-Task Learning Models,"Anne Lauscher, Goran Glavaš, Simone Paolo Ponzetto and Kai Eckert"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",1928,Learning Personas from Dialogue with Attentive Memory Networks,"Eric Chu, Prashanth Vijayaraghavan and Deb Roy"
"Area F (Discourse, Dialog, Summarization, Generation, Multimodal NLP) [LONG]",1424-TACL,Polite Dialogue Generation Without Parallel Data,"Niu, Tong  and Bansal, Mohit"
