	citation_count	semantic_scholar_id	url	title	venue	year	track	interp_citation_prop	abstract	marius_topic	vagrant_topic	marius_chat	classifier_wrong	predicted_track_new_classifier
0	8257	395de0bd3837fdf4b4b5e5f04835bcc69c279481	doi.org/10.18653/v1/2020.acl-main.703	BART: Denoising Sequence-to-Sequence Pre-training for Natural Language Generation, Translation, and Comprehension	ACL	2020	Generation	14.285714285714285	We present BART, a denoising autoencoder for pretraining sequence-to-sequence models. BART is trained by (1) corrupting text with an arbitrary noising function, and (2) learning a model to reconstruct the original text. It uses a standard Tranformer-based neural machine translation architecture which, despite its simplicity, can be seen as generalizing BERT (due to the bidirectional encoder), GPT (with the left-to-right decoder), and other recent pretraining schemes. We evaluate a number of noising approaches, finding the best performance by both randomly shuffling the order of sentences and using a novel in-filling scheme, where spans of text are replaced with a single mask token. BART is particularly effective when fine tuned for text generation but also works well for comprehension tasks. It matches the performance of RoBERTa on GLUE and SQuAD, and achieves new state-of-the-art results on a range of abstractive dialogue, question answering, and summarization tasks, with gains of up to 3.5 ROUGE. BART also provides a 1.1 BLEU increase over a back-translation system for machine translation, with only target language pretraining. We also replicate other pretraining schemes within the BART framework, to understand their effect on end-task performance.	novel model, seq-2-seq, pre-training, denoising	novel model, pre-training, denoising	added seq-2-seq		Generation
1	7827	93d63ec754f29fa22572615320afe0521f7ec66d	doi.org/10.18653/v1/D19-1410	Sentence-BERT: Sentence Embeddings using Siamese BERT-Networks	EMNLP	2019	Machine Learning	15.789473684210526	BERT (Devlin et al., 2018) and RoBERTa (Liu et al., 2019) has set a new state-of-the-art performance on sentence-pair regression tasks like semantic textual similarity (STS). However, it requires that both sentences are fed into the network, which causes a massive computational overhead: Finding the most similar pair in a collection of 10,000 sentences requires about 50 million inference computations (~65 hours) with BERT. The construction of BERT makes it unsuitable for semantic similarity search as well as for unsupervised tasks like clustering. In this publication, we present Sentence-BERT (SBERT), a modification of the pretrained BERT network that use siamese and triplet network structures to derive semantically meaningful sentence embeddings that can be compared using cosine-similarity. This reduces the effort for finding the most similar pair from 65 hours with BERT / RoBERTa to about 5 seconds with SBERT, while maintaining the accuracy from BERT. We evaluate SBERT and SRoBERTa on common STS tasks and transfer learning tasks, where it outperforms other state-of-the-art sentence embeddings methods.	novel model, embeddings, STS, Siamese	novel model, embeddings, STS, Siamese			Machine Learning
2	4939	6fec3e579c7cd4f13bdabbee2b6ac2e8ff5941c6	doi.org/10.18653/v1/2020.acl-main.747	Unsupervised Cross-lingual Representation Learning at Scale	ACL	2020	Semantics: Sentence Level	9.523809523809524	This paper shows that pretraining multilingual language models at scale leads to significant performance gains for a wide range of cross-lingual transfer tasks. We train a Transformer-based masked language model on one hundred languages, using more than two terabytes of filtered CommonCrawl data. Our model, dubbed XLM-R, significantly outperforms multilingual BERT (mBERT) on a variety of cross-lingual benchmarks, including +14.6% average accuracy on XNLI, +13% average F1 score on MLQA, and +2.4% F1 score on NER. XLM-R performs particularly well on low-resource languages, improving 15.7% in XNLI accuracy for Swahili and 11.4% for Urdu over previous XLM models. We also present a detailed empirical analysis of the key factors that are required to achieve these gains, including the trade-offs between (1) positive transfer and capacity dilution and (2) the performance of high and low resource languages at scale. Finally, we show, for the first time, the possibility of multilingual modeling without sacrificing per-language performance; XLM-R is very competitive with strong monolingual models on the GLUE and XNLI benchmarks. We will make our code and models publicly available.	novel model, multilingual, representation learning, cross-lingual transfer 	novel model, multilingual, representation learning, cross-lingual transfer 			Machine Translation and Multilinguality
3	3217	1e077413b25c4d34945cc2707e17e46ed4fe784a	doi.org/10.18653/v1/P18-1031	Universal Language Model Fine-tuning for Text Classification	ACL	2018	Machine Learning	27.586206896551722	Inductive transfer learning has greatly impacted computer vision, but existing approaches in NLP still require task-specific modifications and training from scratch. We propose Universal Language Model Fine-tuning (ULMFiT), an effective transfer learning method that can be applied to any task in NLP, and introduce techniques that are key for fine-tuning a language model. Our method significantly outperforms the state-of-the-art on six text classification tasks, reducing the error by 18-24% on the majority of datasets. Furthermore, with only 100 labeled examples, it matches the performance of training from scratch on 100 times more data. We open-source our pretrained models and code.	novel method, fine-tuning, classification, transfer learning	novel method, fine-tuning, classification, transfer learning			Machine Learning
4	3120	c4744a7c2bb298e4a52289a1e085c71cc3d37bc6	doi.org/10.18653/v1/P19-1285	Transformer-XL: Attentive Language Models beyond a Fixed-Length Context	ACL	2019	Machine Learning	42.1875	Transformers have a potential of learning longer-term dependency, but are limited by a fixed-length context in the setting of language modeling. We propose a novel neural architecture Transformer-XL that enables learning dependency beyond a fixed length without disrupting temporal coherence. It consists of a segment-level recurrence mechanism and a novel positional encoding scheme. Our method not only enables capturing longer-term dependency, but also resolves the context fragmentation problem. As a result, Transformer-XL learns dependency that is 80% longer than RNNs and 450% longer than vanilla Transformers, achieves better performance on both short and long sequences, and is up to 1,800+ times faster than vanilla Transformers during evaluation. Notably, we improve the state-of-the-art results of bpc/perplexity to 0.99 on enwiki8, 1.08 on text8, 18.3 on WikiText-103, 21.8 on One Billion Word, and 54.5 on Penn Treebank (without finetuning). When trained only on WikiText-103, Transformer-XL manages to generate reasonably coherent, novel text articles with thousands of tokens. Our code, pretrained models, and hyperparameters are available in both Tensorflow and PyTorch.	novel model, architecture, long context	novel model, long context	added architecture, long context		Machine Learning
5	2622	53d8b356551a2361020a948f64454a6d599af69f	doi.org/10.18653/v1/2021.acl-long.353	Prefix-Tuning: Optimizing Continuous Prompts for Generation	ACL	2021	Language Generation	19.607843137254903	Fine-tuning is the de facto way of leveraging large pretrained language models for downstream tasks. However, fine-tuning modifies all the language model parameters and therefore necessitates storing a full copy for each task. In this paper, we propose prefix-tuning, a lightweight alternative to fine-tuning for natural language generation tasks, which keeps language model parameters frozen and instead optimizes a sequence of continuous task-specific vectors, which we call the prefix. Prefix-tuning draws inspiration from prompting for language models, allowing subsequent tokens to attend to this prefix as if it were “virtual tokens”. We apply prefix-tuning to GPT-2 for table-to-text generation and to BART for summarization. We show that by learning only 0.1% of the parameters, prefix-tuning obtains comparable performance in the full data setting, outperforms fine-tuning in low-data settings, and extrapolates better to examples with topics that are unseen during training.	novel method, prompting, fine-tuning, prefix-tuning	novel method, prompting, fine-tuning, prefix-tuning	yes 		Generation
6	2426	ffdbd7f0b03b85747b001b4734d5ee31b5229aa4	doi.org/10.18653/v1/2021.emnlp-main.243	The Power of Scale for Parameter-Efficient Prompt Tuning	EMNLP	2021	Machine Learning for NLP	16.363636363636363	In this work, we explore “prompt tuning,” a simple yet effective mechanism for learning “soft prompts” to condition frozen language models to perform specific downstream tasks. Unlike the discrete text prompts used by GPT-3, soft prompts are learned through backpropagation and can be tuned to incorporate signals from any number of labeled examples. Our end-to-end learned approach outperforms GPT-3’s few-shot learning by a large margin. More remarkably, through ablations on model size using T5, we show that prompt tuning becomes more competitive with scale: as models exceed billions of parameters, our method “closes the gap” and matches the strong performance of model tuning (where all model weights are tuned). This finding is especially relevant because large models are costly to share and serve and the ability to reuse one frozen model for multiple downstream tasks can ease this burden. Our method can be seen as a simplification of the recently proposed “prefix tuning” of Li and Liang (2021) and we provide a comparison to this and other similar approaches. Finally, we show that conditioning a frozen model with soft prompts confers benefits in robustness to domain transfer and enables efficient “prompt ensembling.” We release code and model checkpoints to reproduce our experiments.	novel method, parameter-efficient methods, prompting, soft prompts, scaling, prefix-tuning	novel method, parameter-efficient methods, prompting, soft prompts, scaling, prefix-tuning			Machine Learning
7	2392	b26f2037f769d5ffc5f7bdcec2de8da28ec14bee	doi.org/10.18653/v1/2020.emnlp-main.550	Dense Passage Retrieval for Open-Domain Question Answering	EMNLP	2020	Question Answering	1.8518518518518516	Open-domain question answering relies on efficient passage retrieval to select candidate contexts, where traditional sparse vector space models, such as TF-IDF or BM25, are the de facto method. In this work, we show that retrieval can be practically implemented using dense representations alone, where embeddings are learned from a small number of questions and passages by a simple dual-encoder framework. When evaluated on a wide range of open-domain QA datasets, our dense retriever outperforms a strong Lucene-BM25 system greatly by 9%-19% absolute in terms of top-20 passage retrieval accuracy, and helps our end-to-end QA system establish new state-of-the-art on multiple open-domain QA benchmarks.	novel model, novel method, retrieval, embeddings, representation learning, QA	novel model, novel method, retrieval, embeddings, representation learning, QA			Question Answering
8	2328	4d1c856275744c0284312a3a50efb6ca9dc4cd4c	doi.org/10.18653/v1/P18-2124	Know What You Don’t Know: Unanswerable Questions for SQuAD	ACL	2018	Best Paper Session	8.0	Extractive reading comprehension systems can often locate the correct answer to a question in a context document, but they also tend to make unreliable guesses on questions for which the correct answer is not stated in the context. Existing datasets either focus exclusively on answerable questions, or use automatically generated unanswerable questions that are easy to identify. To address these weaknesses, we present SQuADRUn, a new dataset that combines the existing Stanford Question Answering Dataset (SQuAD) with over 50,000 unanswerable questions written adversarially by crowdworkers to look similar to answerable ones. To do well on SQuADRUn, systems must not only answer questions when possible, but also determine when no answer is supported by the paragraph and abstain from answering. SQuADRUn is a challenging natural language understanding task for existing models: a strong neural system that gets 86% F1 on SQuAD achieves only 66% F1 on SQuADRUn. We release SQuADRUn to the community as the successor to SQuAD.	novel dataset, evaluation, novel research problem, QA, unanswerability	novel dataset, evaluation, novel research problem, QA, unanswerability			Question Answering
9	2308	156d217b0a911af97fa1b5a71dc909ccef7a8028	doi.org/10.18653/v1/D19-1371	SciBERT: A Pretrained Language Model for Scientific Text	EMNLP	2019	Information Extraction, Text Mining and NLP Applications, Social Media and Computational Social Science, Sentiment Analysis and Argument Mining	6.451612903225806	Obtaining large-scale annotated data for NLP tasks in the scientific domain is challenging and expensive. We release SciBERT, a pretrained language model based on BERT (Devlin et. al., 2018) to address the lack of high-quality, large-scale labeled scientific data. SciBERT leverages unsupervised pretraining on a large multi-domain corpus of scientific publications to improve performance on downstream scientific NLP tasks. We evaluate on a suite of tasks including sequence tagging, sentence classification and dependency parsing, with datasets from a variety of scientific domains. We demonstrate statistically significant improvements over BERT and achieve new state-of-the-art results on several of these tasks. The code and pretrained models are available at https://github.com/allenai/scibert/.	novel model, scientific text, pre-training	novel model, scientific text, pre-training			Inconclusive
10	2274	c26759e6c701201af2f62f7ee4eb68742b5bf085	doi.org/10.18653/v1/2021.emnlp-main.552	SimCSE: Simple Contrastive Learning of Sentence Embeddings	EMNLP	2021	Semantics: Lexical, Sentence level, Textual Inference and Other areas	14.285714285714285	This paper presents SimCSE, a simple contrastive learning framework that greatly advances the state-of-the-art sentence embeddings. We first describe an unsupervised approach, which takes an input sentence and predicts itself in a contrastive objective, with only standard dropout used as noise. This simple method works surprisingly well, performing on par with previous supervised counterparts. We find that dropout acts as minimal data augmentation and removing it leads to a representation collapse. Then, we propose a supervised approach, which incorporates annotated pairs from natural language inference datasets into our contrastive learning framework, by using “entailment” pairs as positives and “contradiction” pairs as hard negatives. We evaluate SimCSE on standard semantic textual similarity (STS) tasks, and our unsupervised and supervised models using BERT base achieve an average of 76.3% and 81.6% Spearman’s correlation respectively, a 4.2% and 2.2% improvement compared to previous best results. We also show—both theoretically and empirically—that contrastive learning objective regularizes pre-trained embeddings’ anisotropic space to be more uniform, and it better aligns positive pairs when supervised signals are available.	novel method, contrastive learning, embeddings, representation learning, pre-training	novel method, contrastive learning, embeddings, representation learning, pre-training			Inconclusive
11	2163	d6a083dad7114f3a39adc65c09bfbb6cf3fee9ea	doi.org/10.18653/v1/P19-1355	Energy and Policy Considerations for Deep Learning in NLP	ACL	2019	Multidisciplinary	20.0	Recent progress in hardware and methodology for training neural networks has ushered in a new generation of large networks trained on abundant data. These models have obtained notable gains in accuracy across many NLP tasks. However, these accuracy improvements depend on the availability of exceptionally large computational resources that necessitate similarly substantial energy consumption. As a result these models are costly to train and develop, both financially, due to the cost of hardware and electricity or cloud compute time, and environmentally, due to the carbon footprint required to fuel modern tensor processing hardware. In this paper we bring this issue to the attention of NLP researchers by quantifying the approximate financial and environmental costs of training a variety of recently successful neural network models for NLP. Based on these findings, we propose actionable recommendations to reduce costs and improve equity in NLP research and practice.	ethics, policy, environment, efficiency 	ethics, policy, environment, efficiency 			Machine Learning
12	2113	17dbd7b72029181327732e4d11b52a08ed4630d0	doi.org/10.1162/tacl_a_00276	Natural Questions: a Benchmark for Question Answering Research	ACL	2019	Question Answering	6.451612903225806	We present the Natural Questions corpus, a question answering data set. Questions consist of real anonymized, aggregated queries issued to the Google search engine. An annotator is presented with a question along with a Wikipedia page from the top 5 search results, and annotates a long answer (typically a paragraph) and a short answer (one or more entities) if present on the page, or marks null if no long/short answer is present. The public release consists of 307,373 training examples with single annotations; 7,830 examples with 5-way annotations for development data; and a further 7,842 examples with 5-way annotated sequestered as test data. We present experiments validating quality of the data. We also describe analysis of 25-way annotations on 302 examples, giving insights into human variability on the annotation task. We introduce robust metrics for the purposes of evaluating question answering systems; demonstrate high human upper bounds on these metrics; and establish baseline results using competitive methods drawn from related literature.	novel dataset, evaluation, QA	novel dataset, evaluation, QA			Question Answering
13	2066	79c93274429d6355959f1e4374c2147bb81ea649	doi.org/10.18653/v1/D19-1514	LXMERT: Learning Cross-Modality Encoder Representations from Transformers	EMNLP	2019	Speech, Vision, Robotics, Multimodal and Grounding	9.090909090909092	Vision-and-language reasoning requires an understanding of visual concepts, language semantics, and, most importantly, the alignment and relationships between these two modalities. We thus propose the LXMERT (Learning Cross-Modality Encoder Representations from Transformers) framework to learn these vision-and-language connections. In LXMERT, we build a large-scale Transformer model that consists of three encoders: an object relationship encoder, a language encoder, and a cross-modality encoder. Next, to endow our model with the capability of connecting vision and language semantics, we pre-train the model with large amounts of image-and-sentence pairs, via five diverse representative pre-training tasks: masked language modeling, masked object prediction (feature regression and label classification), cross-modality matching, and image question answering. These tasks help in learning both intra-modality and cross-modality relationships. After fine-tuning from our pre-trained parameters, our model achieves the state-of-the-art results on two visual question answering datasets (i.e., VQA and GQA). We also show the generalizability of our pre-trained cross-modality model by adapting it to a challenging visual-reasoning task, NLVR2, and improve the previous best result by 22% absolute (54% to 76%). Lastly, we demonstrate detailed ablation studies to prove that both our novel model components and pre-training strategies significantly contribute to our strong results. Code and pre-trained models publicly available at: https://github.com/airsplay/lxmert	novel model, multimodal, representation learning, vision-language models, pre-training	novel model, multimodal, representation learning, vision-language models, pre-training			Multimodality, Speech and Grounding
14	2032	d0086b86103a620a86bc918746df0aa642e2a8a3	doi.org/10.18653/v1/D19-1250	Language Models as Knowledge Bases?	EMNLP	2019	Question Answering, Textual Inference and Other Areas of Semantics	23.684210526315788	Recent progress in pretraining language models on large textual corpora led to a surge of improvements for downstream NLP tasks. Whilst learning linguistic knowledge, these models may also be storing relational knowledge present in the training data, and may be able to answer queries structured as “fill-in-the-blank” cloze statements. Language models have many advantages over structured knowledge bases: they require no schema engineering, allow practitioners to query about an open class of relations, are easy to extend to more data, and require no human supervision to train. We present an in-depth analysis of the relational knowledge already present (without fine-tuning) in a wide range of state-of-the-art pretrained language models. We find that (i) without fine-tuning, BERT contains relational knowledge competitive with traditional NLP methods that have some access to oracle knowledge, (ii) BERT also does remarkably well on open-domain question answering against a supervised baseline, and (iii) certain types of factual knowledge are learned much more readily than others by standard language model pretraining approaches. The surprisingly strong ability of these models to recall factual knowledge without any fine-tuning demonstrates their potential as unsupervised open-domain QA systems. The code to reproduce our analysis is available at https://github.com/facebookresearch/LAMA.	analysis, evaluation, knowledge bases, factual knowledge, QA	analysis, evaluation, knowledge bases, factual knowledge, QA		1	Question Answering
15	1859	e816f788767eec6a8ef0ea9eddd0e902435d4271	doi.org/10.18653/v1/2020.acl-main.740	Don’t Stop Pretraining: Adapt Language Models to Domains and Tasks	ACL	2020	Semantics: Sentence Level	13.23529411764706	Language models pretrained on text from a wide variety of sources form the foundation of today's NLP. In light of the success of these broad-coverage models, we investigate whether it is still helpful to tailor a pretrained model to the domain of a target task. We present a study across four domains (biomedical and computer science publications, news, and reviews) and eight classification tasks, showing that a second phase of pretraining in-domain (domain-adaptive pretraining) leads to performance gains, under both high- and low-resource settings. Moreover, adapting to the task's unlabeled data (task-adaptive pretraining) improves performance even after domain-adaptive pretraining. Finally, we show that adapting to a task corpus augmented using simple data selection strategies is an effective alternative, especially when resources for domain-adaptive pretraining might be unavailable. Overall, we consistently find that multi-phase adaptive pretraining offers large gains in task performance.	novel method, fine-tuning, adaptation	novel method, pre-training	they fine-tuning, not pre-train		Machine Learning
16	1849	b4df354db88a70183a64dbc9e56cf14e7669a6c0	doi.org/10.18653/v1/P18-1238	Conceptual Captions: A Cleaned, Hypernymed, Image Alt-text Dataset For Automatic Image Captioning	ACL	2018	Vision, Multimodal, Grounding, Speech	6.0606060606060606	We present a new dataset of image caption annotations, Conceptual Captions, which contains an order of magnitude more images than the MS-COCO dataset (Lin et al., 2014) and represents a wider variety of both images and image caption styles. We achieve this by extracting and filtering image caption annotations from billions of webpages. We also present quantitative evaluations of a number of image captioning models and show that a model architecture based on Inception-ResNetv2 (Szegedy et al., 2016) for image-feature extraction and Transformer (Vaswani et al., 2017) for sequence modeling achieves the best performance when trained on the Conceptual Captions dataset.	novel dataset, image captioning, vision, multimodal, vision-languags models	novel dataset, image captioning, vision, multimodal, vision-languags models			Multimodality, Speech and Grounding
17	1685	81f5810fbbab9b7203b9556f4ce3c741875407bc	doi.org/10.1162/tacl_a_00300	SpanBERT: Improving Pre-training by Representing and Predicting Spans	ACL	2020	Machine Learning for NLP	14.545454545454545	We present SpanBERT, a pre-training method that is designed to better represent and predict spans of text. Our approach extends BERT by (1) masking contiguous random spans, rather than random tokens, and (2) training the span boundary representations to predict the entire content of the masked span, without relying on the individual token representations within it. SpanBERT consistently outperforms BERT and our better-tuned baselines, with substantial gains on span selection tasks such as question answering and coreference resolution. In particular, with the same training data and model size as BERT-Large, our single model obtains 94.6% and 88.7% F1 on SQuAD 1.1 and 2.0 respectively. We also achieve a new state of the art on the OntoNotes coreference resolution task (79.6% F1), strong performance on the TACRED relation extraction benchmark, and even gains on GLUE.	novel method, novel model, pre-training, denoising	novel method, novel model, pre-training, denoising			Information Extraction/Retrieval
18	1577	22655979df781d222eaf812b0d325fa9adf11594	doi.org/10.18653/v1/D18-1259	HotpotQA: A Dataset for Diverse, Explainable Multi-hop Question Answering	EMNLP	2018	Area A (Information Extraction and Question Answering) [LONG]	0.0	Existing question answering (QA) datasets fail to train QA systems to perform complex reasoning and provide explanations for answers. We introduce HotpotQA, a new dataset with 113k Wikipedia-based question-answer pairs with four key features: (1) the questions require finding and reasoning over multiple supporting documents to answer; (2) the questions are diverse and not constrained to any pre-existing knowledge bases or knowledge schemas; (3) we provide sentence-level supporting facts required for reasoning, allowing QA systems to reason with strong supervision and explain the predictions; (4) we offer a new type of factoid comparison questions to test QA systems’ ability to extract relevant facts and perform necessary comparison. We show that HotpotQA is challenging for the latest QA systems, and the supporting facts enable models to improve performance and make explainable predictions.	novel dataset, QA, explainability	novel dataset, QA, explainability			Question Answering
19	1570	162cad5df347bdac469331df540440b320b5aa21	doi.org/10.18653/v1/D19-1670	EDA: Easy Data Augmentation Techniques for Boosting Performance on Text Classification Tasks	EMNLP	2019	Information Extraction, Text Mining and NLP Applications, Social Media and Computational Social Science, Sentiment Analysis and Argument Mining	14.705882352941178	We present EDA: easy data augmentation techniques for boosting performance on text classification tasks. EDA consists of four simple but powerful operations: synonym replacement, random insertion, random swap, and random deletion. On five text classification tasks, we show that EDA improves performance for both convolutional and recurrent neural networks. EDA demonstrates particularly strong results for smaller datasets; on average, across five datasets, training with EDA while using only 50% of the available training set achieved the same accuracy as normal training with all available data. We also performed extensive ablation studies and suggest parameters for practical use.	novel method, data augmentation, classification	novel method, data augmentation, classification			Machine Learning
20	1462	85e7d63f75c0916bd350a229e040c5fbb1472e7a	doi.org/10.18653/v1/2021.acl-long.295	Making Pre-trained Language Models Better Few-shot Learners	ACL	2021	Machine Learning for NLP	17.307692307692307	The recent GPT-3 model (Brown et al., 2020) achieves remarkable few-shot performance solely by leveraging a natural-language prompt and a few task demonstrations as input context. Inspired by their findings, we study few-shot learning in a more practical scenario, where we use smaller language models for which fine-tuning is computationally efficient. We present LM-BFF—better few-shot fine-tuning of language models—a suite of simple and complementary techniques for fine-tuning language models on a small number of annotated examples. Our approach includes (1) prompt-based fine-tuning together with a novel pipeline for automating prompt generation; and (2) a refined strategy for dynamically and selectively incorporating demonstrations into each context. Finally, we present a systematic evaluation for analyzing few-shot performance on a range of NLP tasks, including classification and regression. Our experiments demonstrate that our methods combine to dramatically outperform standard fine-tuning procedures in this low resource setting, achieving up to 30% absolute improvement, and 11% on average across all tasks. Our approach makes minimal assumptions on task resources and domain expertise, and hence constitutes a strong task-agnostic method for few-shot learning.	novel method, few-shot, fine-tuning, prompting	novel method, few-shot, fine-tuning, prompting			Machine Learning
21	1414	495da6f19baa09c6db3697d839e10432cdc25934	doi.org/10.1162/tacl_a_00343	Multilingual Denoising Pre-training for Neural Machine Translation	EMNLP	2020	Machine Translation and Multilinguality	4.918032786885246	This paper demonstrates that multilingual denoising pre-training produces significant performance gains across a wide variety of machine translation (MT) tasks. We present mBART -- a sequence-to-sequence denoising auto-encoder pre-trained on large-scale monolingual corpora in many languages using the BART objective. mBART is the first method for pre-training a complete sequence-to-sequence model by denoising full texts in multiple languages, while previous approaches have focused only on the encoder, decoder, or reconstructing parts of the text. Pre-training a complete model allows it to be directly fine-tuned for supervised (both sentence-level and document-level) and unsupervised machine translation, with no task-specific modifications. We demonstrate that adding mBART initialization produces performance gains in all but the highest-resource settings, including up to 12 BLEU points for low resource MT and over 5 BLEU points for many document-level and unsupervised models. We also show it enables transfer to language pairs with no bi-text or that were not in the pre-training corpus, and present extensive analysis of which factors contribute the most to effective pre-training.	novel model, multilingual, denoising, pre-training, MT	novel model, multilingual, denoising, pre-training, MT			Machine Translation and Multilinguality
22	1248	29de7c0fb3c09eaf55b20619bceaeafe72fd87a6	doi.org/10.18653/v1/P18-1082	Hierarchical Neural Story Generation	ACL	2018	Generation	17.24137931034483	We explore story generation: creative systems that can build coherent and fluent passages of text about a topic. We collect a large dataset of 300K human-written stories paired with writing prompts from an online forum. Our dataset enables hierarchical story generation, where the model first generates a premise, and then transforms it into a passage of text. We gain further improvements with a novel form of model fusion that improves the relevance of the story to the prompt, and adding a new gated multi-scale self-attention mechanism to model long-range context. Experiments show large improvements over strong baselines on both automated and human evaluations. Human judges prefer stories generated by our approach to those from a strong non-hierarchical model by a factor of two to one.	novel dataset, novel method, story generation	novel dataset, novel method, story generation			Summarization
23	1242	63748e59f4e106cbda6b65939b77589f40e48fcb	doi.org/10.18653/v1/D19-1387	Text Summarization with Pretrained Encoders	EMNLP	2019	Summarization	5.555555555555555	Bidirectional Encoder Representations from Transformers (BERT) represents the latest incarnation of pretrained language models which have recently advanced a wide range of natural language processing tasks. In this paper, we showcase how BERT can be usefully applied in text summarization and propose a general framework for both extractive and abstractive models. We introduce a novel document-level encoder based on BERT which is able to express the semantics of a document and obtain representations for its sentences. Our extractive model is built on top of this encoder by stacking several inter-sentence Transformer layers. For abstractive summarization, we propose a new fine-tuning schedule which adopts different optimizers for the encoder and the decoder as a means of alleviating the mismatch between the two (the former is pretrained while the latter is not). We also demonstrate that a two-staged fine-tuning approach can further boost the quality of the generated summaries. Experiments on three datasets show that our model achieves state-of-the-art results across the board in both extractive and abstractive settings.	application, summarization, novel method, fine-tuning, representation learning, long context	application, summarization, novel method, fine-tuning, representation learning, long context			Summarization
